Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-05,1774.0,0.0,3.1152499,17.054998,0.0,75.27799
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-06,5337.0,0.0,3.7381666,17.399998,0.0,72.33555
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-07,6879.0,0.0,5.0798335,20.205,0.0,74.50518
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-08,6692.0,0.0,7.740251,30.615,2.3999999,80.28651
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-09,7568.0,0.0,8.884001,54.554996,4.8999996,87.079384
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-10,7191.0,0.0,9.738166,63.914997,10.099999,84.47666
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-11,8832.0,0.0,5.7339993,60.525005,2.9,77.45115
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-12,10446.0,0.0,5.436083,58.844997,6.4999995,81.3476
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-13,3071.0,0.0,5.773584,56.535,1.5,75.1676
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-14,2156.0,0.0,8.477751,47.099995,2.3000002,84.7681
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-15,3163.0,0.0,10.331918,30.164999,0.4,90.05673
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-16,3610.0,0.0,9.431917,22.965002,0.3,81.31216
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-17,2409.0,1.0,8.521501,18.36,0.0,82.60874
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-18,3464.0,0.0,10.606916,25.71,0.2,85.93043
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-19,3206.0,0.0,9.679832,14.564999,0.0,86.46737
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-20,3171.0,0.0,9.47775,20.414999,0.2,86.129326
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-21,2614.0,0.0,8.919417,17.355001,0.6,78.54017
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-22,3056.0,0.0,8.634,24.345001,0.0,78.40348
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-23,3518.0,0.0,8.661084,43.949993,0.6,78.08132
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-24,3743.0,0.0,8.346501,41.579998,1.6000001,79.60105
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-25,3246.0,0.0,8.865249,49.694992,4.7,83.06441
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-26,3095.0,0.0,4.77775,55.79999,3.0,72.986145
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-27,2768.0,0.0,8.429833,57.94499,2.1000001,77.948265
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-28,1879.0,0.0,12.777751,68.700005,3.2999997,86.32711
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-29,2872.0,0.0,12.627749,53.204998,0.0,85.04682
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-30,3334.0,0.0,12.644418,26.835,0.0,76.236275
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-03-31,3430.0,0.0,10.988164,21.96,0.0,86.630135
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-01,2716.0,0.0,8.2965,43.349995,0.0,86.115875
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-02,2747.0,0.0,6.667333,26.955002,0.0,79.48562
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-03,3482.0,0.0,7.3923345,16.725,0.0,79.75592
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-04,2026.0,0.0,8.986082,35.594997,0.5,74.17621
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-05,3178.0,1.0,3.236083,34.89,0.0,62.446186
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-06,5349.0,0.0,3.7319167,33.405,0.4,70.38247
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-07,4778.0,0.0,5.554833,25.095,0.90000004,82.715065
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-08,6440.0,0.0,7.1673336,41.88,1.7000002,79.65511
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-09,8934.0,0.0,3.7110827,19.185001,6.6000004,85.446014
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-10,6791.0,0.0,2.4381664,18.12,3.0,79.54381
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-11,9504.0,0.0,4.2902503,22.665,2.6,75.302086
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-12,11652.0,0.0,6.0089993,17.445,5.2,87.95825
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-13,3425.0,0.0,7.386083,12.0,0.0,72.54406
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-14,3509.0,0.0,7.0027504,16.56,0.0,77.34718
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-15,4189.0,0.0,8.181917,17.820002,0.1,68.3218
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-16,3655.0,0.0,7.90275,23.729998,0.0,64.07336
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-17,3467.0,0.0,9.011084,27.015005,0.1,64.11849
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-18,2278.0,0.0,8.850667,23.565,0.70000005,79.94376
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-19,3091.0,0.0,9.244418,15.0,0.9,74.477486
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-20,2984.0,0.0,8.929832,12.149999,0.4,82.4243
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-21,2889.0,0.0,9.20275,24.15,0.1,81.4534
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-22,2890.0,0.0,8.763165,23.460001,0.0,64.98501
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-23,3131.0,0.0,10.2715,22.995003,0.0,58.20941
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-24,3195.0,0.0,10.834001,24.659998,0.0,64.33068
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-25,2321.0,0.0,8.150666,27.885,0.0,78.05818
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-26,3027.0,0.0,11.413167,21.494997,0.0,67.0978
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-27,3074.0,0.0,9.240251,33.735,3.8000004,78.10618
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-28,2999.0,0.0,7.1631675,33.809998,1.1,73.66609
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-29,2988.0,0.0,6.1027493,14.430001,5.6,83.56991
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-04-30,3342.0,0.0,6.1902504,17.25,4.9,77.28724
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-05-01,2968.0,0.0,7.1590004,16.155,0.90000004,71.39169
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-05-02,2844.0,0.0,8.417333,22.694998,0.7,69.00709
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-05-03,3538.0,1.0,8.436082,64.47001,15.099999,80.55117
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-05-04,2294.0,0.0,6.6485844,45.584995,3.1000001,71.9819
Ireland,Dublin,IRDUB_1,Trinity College & Book of Kells,University,Culture & History,53.3438,-6.2546,2021-05-05,3003.0,0.0,4.961083,24.39,2.0,78.85343
